n_ActionID,c_Competition,n_MatchID,c_HomeTeam,c_AwayTeam,n_HomeGoals,n_AwayGoals,d_Date,c_Action,c_Period,n_StartTime,n_Endtime,n_HomeOrAway,n_TeamID,c_Team,n_personid,c_person,c_Function,n_ShirtNr,c_ActionReason,c_actionInfo,n_Subpersonid,c_Subperson
27729469,Premier League,2375271,Arsenal,Aston Villa,3,2,22-Sep-19,Blocked shot,Second half,4465000,4465000,1,4007,Arsenal,749983,Pierre-Emerick Aubameyang,NULL,NULL,NULL,Right foot,0,NULL
27729468,Premier League,2375271,Arsenal,Aston Villa,3,2,22-Sep-19,Shot blocked by,Second half,4465000,4465000,-1,4010,Aston Villa,981069,Björn Engels,NULL,NULL,NULL,NULL,0,NULL
27729456,Premier League,2375272,Chelsea,Liverpool,1,2,22-Sep-19,Free kick,Second half,4498000,4498000,1,4034,Chelsea,961851,Jorginho,NULL,NULL,NULL,Right foot,0,NULL
27729455,Premier League,2375272,Chelsea,Liverpool,1,2,22-Sep-19,Foul committed,Second half,4491000,4491000,-1,4075,Liverpool,844196,Mohamed Salah,NULL,NULL,Rough play,NULL,1050893,N'Golo Kanté
27729436,Premier League,2375271,Arsenal,Aston Villa,3,2,22-Sep-19,Free kick,Second half,4390000,4390000,-1,4010,Aston Villa,981069,Björn Engels,NULL,NULL,NULL,Right foot,0,NULL
27729430,Premier League,2375271,Arsenal,Aston Villa,3,2,22-Sep-19,Foul committed,Second half,4376000,4376000,1,4007,Arsenal,1321625,Lucas Torreira,NULL,NULL,Rough play,NULL,1210500,Marvelous Nakamba
27729413,Premier League,2375272,Chelsea,Liverpool,1,2,22-Sep-19,Goal kick,Second half,4386000,4386000,-1,4075,Liverpool,774899,Adrián,NULL,NULL,NULL,NULL,0,NULL
27729410,Premier League,2375271,Arsenal,Aston Villa,3,2,22-Sep-19,Blocked shot,Second half,4311000,4311000,1,4007,Arsenal,1679870,Joe Willock,NULL,NULL,NULL,Right foot,0,NULL
27729409,Premier League,2375271,Arsenal,Aston Villa,3,2,22-Sep-19,Shot blocked by,Second half,4311000,4311000,-1,4010,Aston Villa,981069,Björn Engels,NULL,NULL,NULL,NULL,0,NULL
27729405,Premier League,2375272,Chelsea,Liverpool,1,2,22-Sep-19,Shot wide,Second half,4364000,4364000,1,4034,Chelsea,838446,Marcos Alonso,NULL,NULL,NULL,Right foot,0,NULL
27729362,Premier League,2375271,Arsenal,Aston Villa,3,2,22-Sep-19,Blocked shot,Second half,4152000,4152000,1,4007,Arsenal,1253252,Dani Ceballos,NULL,NULL,NULL,Right foot,0,NULL
27729361,Premier League,2375271,Arsenal,Aston Villa,3,2,22-Sep-19,Shot blocked by,Second half,4152000,4152000,-1,4010,Aston Villa,981069,Björn Engels,NULL,NULL,NULL,NULL,0,NULL
27729402,Premier League,2375271,Arsenal,Aston Villa,3,2,22-Sep-19,Goal kick,Second half,4289000,4289000,-1,4010,Aston Villa,633151,Tom Heaton,NULL,NULL,NULL,NULL,0,NULL
27723952,Premier League,2375271,Arsenal,Aston Villa,3,2,22-Sep-19,Substitution,Second half,4287000,NULL,1,4007,Arsenal,1321625,Lucas Torreira,Midfielder,11,NULL,NULL,1253252,Dani Ceballos
27689405,Premier League,2375271,Arsenal,Aston Villa,3,2,22-Sep-19,Line-up,Start,NULL,4287000,1,4007,Arsenal,1253252,Dani Ceballos,Midfielder,8,NULL,NULL,0,NULL
27723955,Premier League,2375271,Arsenal,Aston Villa,3,2,22-Sep-19,Substitution,Second half,4277000,NULL,1,4007,Arsenal,1679870,Joe Willock,Midfielder,28,NULL,NULL,857216,Granit Xhaka
27689406,Premier League,2375271,Arsenal,Aston Villa,3,2,22-Sep-19,Line-up,Start,NULL,4277000,1,4007,Arsenal,857216,Granit Xhaka,Midfielder (C),34,NULL,NULL,0,NULL
